Xie (2004);Xie;2004,,
Schoellman (2008);Schoellman;2008,,
Aakvik et al. (2001);Aakvik et al.;2001,,
Giles et al. (2008);Giles et al.;2008,,
Plug, & Vijverberg (2005);Plug, & Vijverberg;2005
Fossen, & Büttner (2013);Fossen, & Büttner;2013
Vatta et al. (2016);Vatta et al.;2016,,
Akhmedjonov (2011);Akhmedjonov;2011,,
Halyna (2004);Halyna;2004,,
Aakviky et al. (2001);Aakviky et al.;2001,,
Karataş (2018);Karataş;2018,,
Hanushek, & Wößmann (2007);Hanushek, & Wößmann;2007
Hanushek, & Aluque (2003);Hanushek, & Aluque;2003
Contingent, & Sector (2007);Contingent, & Sector;2007
 (None);;,,
Birdsall et al. (1998);Birdsall et al.;1998,,
Abbas, & Foreman-Peck (2008);Abbas, & Foreman-Peck;2008
Fiaschi, & Gabbriellini (2013);Fiaschi, & Gabbriellini;2013
Kabbani, & Salloum (2011);Kabbani, & Salloum;2011
Jurajda (2003);Jurajda;2003,,
Ozougwu (2020);Ozougwu;2020,,
Schoellman (2009);Schoellman;2009,,
Foltz, & Gajigo (2012);Foltz, & Gajigo;2012
Mishra, & Smyth (2015);Mishra, & Smyth;2015
Cattan, & Crawford (2013);Cattan, & Crawford;2013
Bratti et al. (2006);Bratti et al.;2006,,
Van Praag et al. (2009);Van Praag et al.;2009,,
O'Donoghue (2002);O'Donoghue;2002,,
Schnabel, & Schnabel (2002);Schnabel, & Schnabel;2002
Campos, & Reis (2018);Campos, & Reis;2018
Hertz (2001);Hertz;2001,,
Lillo-Bañulsa, & Mcasado-Díazb (None);Lillo-Bañulsa, & Mcasado-Díazb;
Brunello, & Paola (2014);Brunello, & Paola;2014
Lederman, & Rojas (2014);Lederman, & Rojas;2014
Toivanen, & Väänänen (2012);Toivanen, & Väänänen;2012
Appleton (2000);Appleton;2000,,
Dearden (1995);Dearden;1995,,
Kurosaki (2001);Kurosaki;2001,,
Badescu et al. (2011);Badescu et al.;2011,,
Guille, & Skalli (1999);Guille, & Skalli;1999
Wahrenburg, & Weldi (2007);Wahrenburg, & Weldi;2007
Akgüç (2011);Akgüç;2011,,
Khan (2008);Khan;2008,,
Abbasa, & Foreman-Peck (2007);Abbasa, & Foreman-Peck;2007
Khitarishvili (2010);Khitarishvili;2010,,
Van Praag et al. (2009);Van Praag et al.;2009,,
D'Amato, & Mookherjee (None);D'Amato, & Mookherjee;
Liang et al. (2016);Liang et al.;2016,,
Hanushek, & Woessmann (2008);Hanushek, & Woessmann;2008
Dercon et al. (2005);Dercon et al.;2005,,
Raudenská, & Mysíková (2020);Raudenská, & Mysíková;2020
Kumara (2015);Kumara;2015,,
Parker, & Praag (2006);Parker, & Praag;2006
Vatta, & Sato (2012);Vatta, & Sato;2012
Lanka (2015);Lanka;2015,,
 (None);;,,
Orazem, & Mking (2007);Orazem, & Mking;2007
Shimada et al. (2016);Shimada et al.;2016,,
López-Bazo, & Moreno (2007);López-Bazo, & Moreno;2007
Fang (2006);Fang;2006,,
Griffin (2016);Griffin;2016,,
